116,	0.844603,	100.00,	90.62,	8.458453
117,	0.815323,	100.00,	81.25,	8.067127
118,	1.099641,	96.88,	84.38,	8.566319
119,	0.622003,	100.00,	87.50,	8.774700
120,	1.328325,	68.75,	90.62,	10.108381
121,	2.592177,	40.62,	53.12,	10.431121
122,	3.200236,	34.38,	50.00,	8.647787
123,	1.755302,	71.88,	68.75,	8.692053
124,	1.311467,	84.38,	75.00,	9.171417
125,	0.888119,	96.88,	81.25,	8.567720
126,	2.149484,	65.62,	56.25,	10.019921
127,	0.699842,	96.88,	84.38,	9.763845
128,	0.936084,	93.75,	81.25,	9.024389
129,	1.150728,	93.75,	78.12,	10.087427
130,	1.103126,	93.75,	84.38,	10.781071
131,	0.874786,	100.00,	81.25,	10.521917
132,	0.933529,	96.88,	81.25,	9.733097
133,	1.143290,	93.75,	71.88,	10.072624
134,	0.757815,	96.88,	81.25,	11.163566
135,	1.188893,	90.62,	78.12,	12.615521
136,	0.695660,	93.75,	84.38,	15.491381
137,	1.083115,	87.50,	75.00,	14.811069
138,	0.660594,	100.00,	81.25,	15.595777
139,	0.433172,	96.88,	87.50,	14.966699
140,	2.348748,	62.50,	46.88,	22.007607
141,	0.668778,	100.00,	87.50,	23.336161
142,	1.242844,	93.75,	68.75,	19.896267
143,	0.898209,	100.00,	81.25,	14.113060
144,	3.070738,	53.12,	37.50,	17.766182
145,	0.698989,	96.88,	81.25,	18.985916
146,	1.623554,	96.88,	59.38,	20.765442
147,	0.738309,	100.00,	81.25,	17.955175
148,	3.054080,	59.38,	28.12,	16.753548
149,	1.148679,	96.88,	75.00,	16.447430
150,	1.576033,	96.88,	53.12,	17.360722
151,	1.695784,	90.62,	62.50,	17.610275
152,	1.546806,	96.88,	75.00,	19.831450
153,	0.368458,	100.00,	90.62,	19.837355
154,	0.750986,	100.00,	90.62,	15.350256
155,	1.044354,	100.00,	81.25,	14.845107
156,	1.363811,	96.88,	56.25,	16.183062
157,	1.439737,	93.75,	65.62,	12.824063
158,	2.166707,	81.25,	56.25,	9.343069
159,	0.877248,	96.88,	87.50,	8.223322
160,	0.940284,	100.00,	81.25,	7.670911
161,	0.990795,	93.75,	84.38,	7.612318
162,	1.034003,	96.88,	71.88,	8.669529
163,	1.085462,	100.00,	78.12,	11.895876
164,	0.931121,	93.75,	75.00,	12.299911
165,	4.135116,	53.12,	21.88,	9.963001
166,	2.381088,	96.88,	31.25,	7.594804
167,	0.991085,	90.62,	81.25,	17.514332
168,	0.532903,	100.00,	84.38,	20.304670
169,	0.518901,	96.88,	93.75,	18.655981
170,	0.562816,	100.00,	84.38,	14.709019
171,	0.743284,	96.88,	84.38,	11.396814
172,	1.201094,	84.38,	78.12,	15.937351
173,	1.023248,	84.38,	84.38,	15.560938
174,	1.062494,	87.50,	75.00,	14.396568
175,	0.624572,	93.75,	90.62,	12.909364
