0,	1.02,	53.12,	0.89,	3.19
1,	0.61,	71.88,	1.21,	3.00
2,	0.64,	62.50,	1.50,	2.93
3,	0.61,	71.88,	1.43,	2.66
4,	0.69,	75.00,	1.44,	2.89
5,	0.61,	68.75,	1.32,	2.82
6,	0.60,	68.75,	1.71,	2.42
7,	0.54,	68.75,	1.04,	2.65
8,	0.69,	59.38,	1.68,	2.70
9,	0.61,	71.88,	1.68,	2.71
10,	0.62,	68.75,	1.79,	2.51
11,	0.44,	78.12,	1.62,	2.69
12,	0.56,	71.88,	1.19,	2.69
13,	0.55,	71.88,	1.41,	2.56
14,	0.90,	62.50,	1.27,	2.86
15,	0.78,	59.38,	1.34,	2.46
16,	0.59,	68.75,	1.86,	2.34
17,	0.60,	75.00,	1.76,	2.62
18,	0.69,	75.00,	1.90,	2.88
19,	0.65,	68.75,	2.56,	2.60
20,	0.62,	68.75,	1.96,	2.71
21,	0.55,	71.88,	2.07,	2.61
22,	0.95,	59.38,	1.76,	2.56
23,	0.66,	65.62,	1.74,	2.51
24,	0.66,	68.75,	1.90,	2.56
25,	0.73,	68.75,	1.58,	2.29
26,	0.70,	65.62,	1.60,	2.21
27,	0.85,	56.25,	2.13,	2.39
28,	0.70,	65.62,	2.06,	2.28
29,	0.47,	78.12,	1.57,	2.62
30,	0.44,	78.12,	1.30,	2.68
31,	0.85,	65.62,	1.03,	2.90
32,	0.97,	56.25,	1.56,	2.50
33,	0.27,	87.50,	1.68,	2.29
34,	0.81,	56.25,	1.43,	2.66
35,	0.76,	65.62,	1.59,	2.50
36,	0.22,	90.62,	1.47,	2.70
37,	1.16,	53.12,	1.36,	2.40
38,	0.47,	78.12,	1.70,	2.54
39,	0.81,	62.50,	1.84,	2.65
40,	0.40,	84.38,	1.55,	2.56
41,	0.56,	65.62,	1.47,	2.65
42,	0.48,	75.00,	1.30,	2.82
43,	1.02,	56.25,	2.10,	2.26
44,	0.66,	68.75,	2.39,	2.85
45,	0.53,	78.12,	1.97,	2.40
46,	0.62,	68.75,	1.49,	2.68
47,	0.66,	68.75,	1.09,	2.27
48,	0.53,	78.12,	1.30,	2.48
49,	0.74,	65.62,	1.77,	2.27
50,	0.43,	84.38,	1.62,	2.34
51,	0.74,	71.88,	2.18,	2.52
52,	0.42,	75.00,	2.01,	2.27
53,	0.66,	68.75,	1.86,	2.44
54,	0.68,	62.50,	1.77,	2.22
55,	0.44,	71.88,	2.22,	2.37
56,	0.64,	65.62,	1.73,	2.60
57,	0.39,	81.25,	1.58,	2.58
58,	0.50,	75.00,	1.69,	2.40
59,	0.72,	65.62,	1.71,	2.48
60,	0.63,	62.50,	1.90,	2.45
61,	0.79,	59.38,	2.18,	2.39
62,	0.43,	78.12,	2.32,	2.41
63,	0.50,	71.88,	1.75,	2.51
64,	0.53,	59.38,	2.03,	2.36
65,	0.41,	78.12,	1.45,	2.45
66,	0.58,	71.88,	1.65,	2.36
67,	0.60,	68.75,	1.72,	2.13
68,	0.34,	81.25,	1.95,	2.15
69,	0.42,	71.88,	1.49,	2.46
70,	0.53,	75.00,	1.29,	2.59
71,	0.80,	62.50,	1.93,	2.39
72,	0.58,	71.88,	2.41,	2.32
73,	0.46,	75.00,	2.41,	2.45
74,	0.37,	78.12,	1.87,	2.23
75,	0.51,	71.88,	1.67,	2.26
76,	0.53,	71.88,	1.73,	2.46
77,	0.50,	65.62,	2.13,	2.20
78,	0.58,	71.88,	2.30,	2.16
79,	0.34,	84.38,	2.10,	2.31
80,	0.37,	81.25,	1.35,	2.17
81,	0.62,	68.75,	1.61,	2.18
82,	0.54,	68.75,	1.74,	2.34
83,	0.45,	71.88,	2.36,	2.11
84,	0.54,	68.75,	2.05,	2.24
85,	0.36,	78.12,	1.62,	2.16
