147,	0.779715,	59.38,	1.842577
148,	0.794152,	62.50,	1.766570
149,	0.991206,	40.62,	1.703720
150,	0.973241,	50.00,	1.219130
151,	1.079590,	37.50,	0.971162
152,	0.773832,	50.00,	1.368226
153,	0.564293,	75.00,	1.451095
154,	0.731056,	56.25,	1.674926
155,	0.722503,	56.25,	1.467878
156,	0.920312,	34.38,	1.160137
157,	0.698128,	56.25,	1.581095
158,	0.722708,	56.25,	1.329643
159,	0.472669,	75.00,	1.075912
160,	0.507843,	71.88,	1.447776
161,	0.773301,	59.38,	1.525894
162,	1.226564,	21.88,	1.691445
163,	0.698504,	71.88,	1.275086
164,	0.712381,	62.50,	1.437684
165,	0.836669,	53.12,	1.682844
166,	0.802186,	53.12,	1.374974
167,	0.549925,	71.88,	1.104302
168,	0.612988,	65.62,	1.399732
169,	0.710807,	46.88,	1.416777
170,	0.711720,	56.25,	1.351396
171,	0.758018,	46.88,	1.738074
172,	0.984277,	43.75,	1.192750
173,	0.805670,	53.12,	1.107780
174,	0.522045,	75.00,	1.886134
175,	0.485830,	78.12,	1.588888
176,	1.013112,	46.88,	1.168142
177,	0.867975,	46.88,	0.952158
178,	0.770528,	56.25,	1.053687
179,	0.715138,	50.00,	1.808939
180,	0.799809,	59.38,	1.421344
181,	0.696949,	65.62,	1.279689
182,	0.674423,	68.75,	1.147710
183,	0.769880,	62.50,	1.310883
184,	0.650202,	65.62,	1.306656
185,	0.762567,	50.00,	1.587820
186,	0.499232,	71.88,	1.690131
187,	0.973829,	40.62,	1.246414
188,	0.859050,	56.25,	1.504033
189,	0.742409,	59.38,	1.143366
190,	0.759335,	59.38,	1.721925
191,	0.638018,	68.75,	1.354869
192,	0.722058,	62.50,	1.113912
193,	0.596022,	75.00,	1.343613
194,	1.156364,	43.75,	1.006766
195,	0.832065,	62.50,	1.289974
196,	0.650889,	62.50,	1.521262
197,	0.712051,	59.38,	1.257114
198,	0.973596,	46.88,	1.476515
199,	0.924764,	37.50,	0.884202
200,	0.706141,	50.00,	0.864298
201,	1.039016,	46.88,	1.208606
202,	0.748540,	65.62,	1.643076
203,	1.088543,	34.38,	1.461655
204,	0.854593,	53.12,	1.113751
205,	0.690166,	59.38,	1.147542
206,	0.894605,	46.88,	0.927852
207,	0.939195,	59.38,	1.455481
208,	0.819372,	56.25,	1.215904
209,	0.806623,	40.62,	1.457908
210,	0.894106,	53.12,	1.705716
211,	0.727896,	46.88,	1.371874
212,	0.717631,	68.75,	1.201416
213,	0.743029,	56.25,	1.336694
214,	0.718712,	62.50,	1.469357
215,	0.866724,	53.12,	1.176639
216,	0.625149,	59.38,	1.316774
217,	0.867603,	53.12,	1.770782
218,	0.829014,	50.00,	1.231750
219,	0.629586,	68.75,	1.379380
220,	0.743801,	50.00,	1.091810
221,	0.899463,	46.88,	1.370303
222,	0.678142,	59.38,	1.266121
223,	0.790330,	43.75,	1.011797
224,	0.674152,	62.50,	1.233596
225,	0.587447,	71.88,	1.521930
226,	0.791083,	37.50,	1.312009
227,	0.682251,	53.12,	1.146363
228,	0.749290,	50.00,	1.291229
229,	0.621425,	65.62,	1.247811
230,	0.755150,	43.75,	0.864824
231,	0.747591,	53.12,	1.428225
232,	0.873420,	43.75,	1.177805
233,	0.793221,	50.00,	1.225294
234,	0.864542,	43.75,	0.971642
235,	0.574352,	75.00,	1.421551
236,	0.703787,	50.00,	0.968229
237,	0.873724,	46.88,	1.126137
238,	0.898036,	40.62,	1.288326
239,	0.458427,	81.25,	1.617712
240,	0.667314,	62.50,	1.196173
241,	0.912905,	53.12,	1.085426
242,	0.811152,	50.00,	1.422706
243,	0.727946,	62.50,	1.633601
244,	0.683330,	62.50,	1.518323
245,	1.023422,	46.88,	1.210406
246,	0.897015,	37.50,	1.165149
247,	0.835243,	43.75,	1.292793
248,	0.559491,	71.88,	1.299470
249,	0.953198,	43.75,	1.263100
250,	0.826644,	46.88,	0.891270
